category,customer_state,orders,reviews,rating,low_rate,low_count,late_rate,late_count,deliveries,one_star,delivery_time,value,freight,merchandise,sellers,freight_burden,review_coverage,distance,local_sellers,orders_per_local_seller,demand_pressure,no_local_supply
Bed Bath Table,BA,215,210,3.8047619047619046,21.428571428571427,45.0,13.953488372093023,30.0,215,36.0,20.719393680017227,31245.4,6295.87,24949.53,62,25.234423253664502,97.67441860465117,1396.6666879093996,0,,215.0,No observed local supply
Bed Bath Table,ES,197,195,3.8461538461538463,20.0,39.0,15.228426395939088,30.0,197,27.0,18.472716088550477,26949.260000000002,4359.61,22589.65,52,19.299148061169603,98.98477157360406,833.5205006987501,0,,197.0,No observed local supply
Auto,BA,145,144,3.6597222222222223,20.833333333333336,30.0,17.93103448275862,26.0,145,27.0,20.863617736270754,33532.84,4420.13,29112.71,68,15.18281877571686,99.3103448275862,1402.1348296830256,0,,145.0,No observed local supply
Watches Gifts,ES,142,139,4.0359712230215825,14.388489208633093,20.0,9.15492957746479,13.0,142,17.0,15.998726688836724,30645.5,2571.5,28074.0,22,9.159720738049442,97.88732394366197,746.4929980841007,0,,142.0,No observed local supply
Watches Gifts,GO,138,138,4.297101449275362,7.971014492753622,11.0,5.072463768115942,7.0,138,7.0,15.683907843531939,34168.06,2681.13,31486.93,27,8.515056882331812,100.0,734.1360597388467,0,,138.0,No observed local supply
Housewares,BA,136,133,4.007518796992481,10.526315789473683,14.0,7.352941176470589,10.0,136,10.0,17.05187168096405,21635.55,5049.57,16585.98,84,30.444809411322094,97.79411764705883,1424.5371371699516,0,,136.0,No observed local supply
Watches Gifts,CE,127,125,4.056,12.0,15.0,12.598425196850393,16.0,127,11.0,20.83133657771945,32513.77,3488.42,29025.35,21,12.018528631007035,98.4251968503937,2245.950323108226,0,,127.0,No observed local supply
Telephony,GO,112,112,4.098214285714286,13.392857142857142,15.0,5.357142857142857,6.0,112,10.0,14.964935929232805,7974.91,1990.76,5984.15,29,33.26721422424237,100.0,867.4036584241308,0,,112.0,No observed local supply
Health Beauty,PA,99,98,3.8979591836734695,18.367346938775512,18.0,15.151515151515152,15.0,99,17.0,23.854784885895995,27534.84,3989.0,23545.84,54,16.941421499509044,98.98989898989899,2232.024357642962,0,,99.0,No observed local supply
Toys,ES,92,91,4.208791208791209,12.087912087912088,11.0,7.608695652173914,7.0,92,7.0,13.512992023953302,12324.01,1865.55,10458.460000000001,47,17.837712244441338,98.91304347826087,729.1722866171119,0,,92.0,No observed local supply
Telephony,CE,88,88,3.8863636363636362,17.045454545454543,15.0,14.772727272727273,13.0,88,13.0,20.914905434553873,9059.19,2146.6,6912.59,23,31.053483571280804,100.0,2170.21337707483,0,,88.0,No observed local supply
