seller_state,customer_state,orders,reviews,rating,low_rate,low_count,late_rate,late_count,deliveries,one_star,delivery_time,value,freight,merchandise,sellers,freight_burden,review_coverage,distance,lane
SP,SP,30834,30648,4.243050117462803,10.835943617854346,3321.0,4.632002335463362,1428.0,30829,2444.0,7.942134640468991,3990103.25,467495.96,3522607.29,1526,13.271305073578043,99.3967697995719,150.16620681859052,SP → SP
SP,RJ,8188,8098,3.8805877994566558,20.350703877500617,1648.0,14.069369809477283,1152.0,8188,1323.0,16.254610884661837,1256630.9,191717.16,1064913.74,1016,18.00306943170815,98.90083048363459,440.86270115991044,SP → RJ
SP,MG,7469,7421,4.143376903382293,12.61285541032206,936.0,5.261748560717633,393.0,7469,709.0,12.34616712504277,1100460.81,173454.75,927006.06,980,18.71128544726018,99.3573436872406,495.1525206953312,SP → MG
SP,BA,2313,2296,3.8684668989547037,18.29268292682927,420.0,12.840466926070038,297.0,2313,330.0,19.793215611039056,375248.9,63861.22,311387.68,600,20.508589164478185,99.26502377864246,1388.7561881510362,SP → BA
SP,RS,3614,3602,4.116601887840089,13.076068850638533,471.0,6.58732355383338,238.0,3613,356.0,16.14556597638671,524833.37,85183.08,439650.29,716,19.375190222210474,99.66795794133924,906.2268048651244,SP → RS
SP,SC,2336,2316,4.030656303972366,15.112262521588946,350.0,9.503424657534246,222.0,2336,263.0,15.807524941733258,359718.54,56372.77,303345.77,597,18.583667739952332,99.14383561643835,561.2827306670657,SP → SC
SP,ES,1467,1452,4.043388429752066,14.669421487603307,213.0,12.269938650306749,180.0,1467,168.0,15.78501781476432,218051.2,33302.16,184749.04,491,18.0256200519364,98.97750511247443,785.4027107773663,SP → ES
SP,PR,3130,3117,4.184472248957331,12.062880975296759,376.0,4.4089456869009584,138.0,3130,272.0,12.755503989912436,466880.23,73767.46,393112.77,708,18.764961514732782,99.58466453674122,463.24092302610796,SP → PR
SP,CE,970,965,3.9668393782383418,16.787564766839377,162.0,13.711340206185568,133.0,970,120.0,21.24353371993127,183470.44,33762.14,149708.3,346,22.551949357517252,99.48453608247422,2258.339456339499,SP → CE
PR,RJ,978,965,3.8735751295336787,20.621761658031087,199.0,11.96319018404908,117.0,978,164.0,17.199256276982506,171589.93,24997.22,146592.71,179,17.052157641399766,98.67075664621677,842.9509894203106,PR → RJ
SP,PE,1134,1122,4.048128342245989,15.418894830659536,173.0,9.788359788359788,111.0,1134,136.0,18.91685506687243,196526.45,38514.8,158011.65,409,24.374658450816764,98.94179894179894,2049.4199767101413,SP → PE
SP,GO,1424,1416,4.055084745762712,14.124293785310735,200.0,7.443820224719102,106.0,1424,148.0,16.01182368881346,220854.4,33936.23,186918.17,452,18.1556613784524,99.43820224719101,747.9351455095903,SP → GO
RJ,SP,1339,1332,4.143393393393393,13.663663663663664,182.0,7.6923076923076925,103.0,1339,144.0,11.752584242663126,290031.2,28005.64,262025.56,125,10.688132867648484,99.4772218073189,402.0798877085446,RJ → SP
MG,RJ,1145,1137,4.131046613896218,13.544415127528584,154.0,8.209606986899564,94.0,1145,124.0,14.146456048843604,177937.12,31352.54,146584.58,146,21.388702686189777,99.30131004366812,371.481563960527,MG → RJ
SP,MA,493,489,3.7075664621676894,22.494887525562373,110.0,19.066937119675455,94.0,493,85.0,22.050375887423932,88319.64,21070.17,67249.47,225,31.331354730379285,99.18864097363083,2178.8380865686445,SP → MA
MG,SP,2580,2566,4.233047544816835,10.210444271239282,262.0,3.529868114817688,91.0,2578,183.0,10.85661392785823,373933.68,61943.36,311990.32,178,19.854257016692056,99.45736434108527,417.29315542519913,MG → SP
PR,SP,2959,2941,4.256375382522951,10.302618157089425,303.0,3.041568097330179,90.0,2959,237.0,11.119868664182093,520794.43,64156.55,456637.88,270,14.049765210017181,99.39168638053397,469.9388823829915,PR → SP
SP,DF,1386,1378,4.063860667634253,14.949201741654573,206.0,6.421356421356421,89.0,1386,158.0,13.242765518946074,206127.01,31151.07,174975.94,477,17.803059094867557,99.42279942279943,808.7412190300726,SP → DF
SP,PA,683,674,3.8724035608308607,18.100890207715135,122.0,12.005856515373353,82.0,683,98.0,23.32193275174882,136769.54,24255.49,112514.05,305,21.55774323295624,98.68228404099561,2318.294439286327,SP → PA
SP,AL,256,254,3.7007874015748032,24.409448818897637,62.0,23.828125,61.0,256,45.0,25.027070222077548,50973.66,9380.3,41593.36,155,22.552397786569777,99.21875,1902.7701980979957,SP → AL
SP,MS,478,478,4.077405857740586,15.690376569037657,75.0,12.343096234309623,59.0,478,55.0,15.961094016348985,84664.69,12089.5,72575.19,252,16.657896451941774,100.0,809.696858199535,SP → MS
SP,PI,329,325,3.96,16.923076923076923,55.0,16.41337386018237,54.0,329,43.0,20.33918854835078,63418.07,13624.42,49793.65,191,27.361761991739908,98.78419452887537,2015.4219756656007,SP → PI
SC,SP,1330,1327,4.205727204220045,12.207987942727957,162.0,3.6090225563909777,48.0,1330,121.0,12.024063892369814,231257.72,32786.61,198471.11000000002,141,16.519588165753696,99.77443609022556,512.588577205654,SC → SP
RJ,RJ,961,950,4.356842105263158,10.210526315789474,97.0,4.682622268470343,45.0,961,77.0,6.609144397714572,196777.36,13492.77,183284.59,116,7.361649989232593,98.85535900104058,55.29253384012277,RJ → RJ
SC,RJ,474,469,3.9424307036247335,18.336886993603414,86.0,9.071729957805907,43.0,474,68.0,16.308777934052195,91748.24,13723.16,78025.08,95,17.588139608443846,98.94514767932489,786.0129927667882,SC → RJ
MG,MG,1539,1531,4.350097975179621,8.817766165904638,135.0,2.53411306042885,39.0,1539,103.0,8.691027009181045,206952.56,28584.76,178367.8,161,16.025740071918808,99.48018193632228,259.85475476791964,MG → MG
SP,MT,653,648,4.160493827160494,12.654320987654321,82.0,5.972434915773354,39.0,653,59.0,17.731006465883954,115293.28,19296.06,95997.22,301,20.100644581165998,99.23430321592649,1343.0787972828716,SP → MT
MG,BA,368,366,4.101092896174864,13.661202185792352,50.0,9.782608695652174,36.0,368,36.0,18.391647858796297,55860.44,10896.18,44964.26,110,24.23297970432517,99.45652173913044,1048.9028047166544,MG → BA
SP,PB,337,333,4.036036036036036,15.915915915915916,53.0,10.385756676557865,35.0,337,39.0,20.65931386690845,82812.13,16738.16,66073.97,172,25.33245694181839,98.81305637982196,2163.985407746643,SP → PB
SP,SE,208,208,3.8173076923076925,19.71153846153846,41.0,16.346153846153847,34.0,208,35.0,21.321168480680196,42496.1,9045.02,33451.08,130,27.039545509442448,100.0,1724.368603295031,SP → SE
SP,RN,334,331,4.093655589123867,13.897280966767372,46.0,9.880239520958083,33.0,334,34.0,20.437845558882234,68568.71,13672.21,54896.5,189,24.905431129489127,99.10179640718563,2260.1717899568507,SP → RN
RJ,MG,557,552,4.260869565217392,11.05072463768116,61.0,5.9245960502693,33.0,557,52.0,12.174303103597314,117902.26,11268.07,106634.19,92,10.567032956315419,99.10233393177738,378.431298263008,RJ → MG
PR,MG,827,823,4.208991494532199,12.029161603888214,99.0,3.869407496977025,32.0,827,69.0,13.863628871086927,159820.47,21507.66,138312.81,185,15.550013046513914,99.51632406287787,880.3554183988919,PR → MG
MA,SP,124,123,3.910569105691057,18.69918699186992,23.0,20.161290322580644,25.0,124,15.0,16.093032220728794,15740.0,4194.3,11545.699999999999,1,36.32781035363816,99.19354838709677,2331.501872031275,MA → SP
PR,RS,587,587,4.272572402044293,10.221465076660987,60.0,4.088586030664395,24.0,587,46.0,13.332901385734116,99965.52,14490.24,85475.28,164,16.95255049179131,100.0,629.3131944120383,PR → RS
PR,SC,392,391,4.301790281329923,10.485933503836318,41.0,5.357142857142857,21.0,392,34.0,13.373214433342781,68454.98,9064.99,59389.99,134,15.263498108014497,99.74489795918367,385.3846239722111,PR → SC
SP,TO,198,197,4.106598984771574,13.705583756345177,27.0,10.606060606060606,21.0,198,17.0,17.74996071829405,43925.84,8482.95,35442.89,134,23.934137425023753,99.4949494949495,1480.7764264798047,SP → TO
PR,BA,144,142,3.8309859154929575,19.014084507042252,27.0,14.583333333333334,21.0,144,21.0,21.85324869791667,41228.49,7310.08,33918.409999999996,65,21.55195364405348,98.61111111111111,1769.4099603947213,PR → BA
PR,PR,717,711,4.383966244725738,8.016877637130802,57.0,2.6499302649930265,19.0,717,42.0,8.228037314685675,115612.21,12683.15,102929.06,175,12.322224646761565,99.16317991631799,218.6678567722022,PR → PR
RJ,PR,204,203,4.078817733990148,17.733990147783253,36.0,8.333333333333332,17.0,204,29.0,12.892325254175743,45339.95,4548.89,40791.06,51,11.151683726777389,99.50980392156863,825.6172104901505,RJ → PR
RJ,RS,200,199,4.1959798994974875,14.572864321608039,29.0,8.5,17.0,200,21.0,15.766811921296297,40032.53,4803.25,35229.28,61,13.634255369397275,99.5,1181.5852936293948,RJ → RS
RS,RJ,246,240,4.108333333333333,15.833333333333332,38.0,6.910569105691057,17.0,246,35.0,14.100101578967179,56643.8,7437.7699999999995,49206.03,69,15.115566120656348,97.5609756097561,1120.4479157893156,RS → RJ
MG,SC,253,250,4.12,12.4,31.0,6.324110671936759,16.0,253,23.0,17.173061639950227,42836.77,8210.84,34625.93,82,23.712980416699278,98.81422924901186,906.6296838820028,MG → SC
SC,MG,434,431,4.08584686774942,14.385150812064964,62.0,3.4562211981566824,15.0,434,48.0,14.610909284860897,93357.44,13606.4,79751.04,88,17.061094124916742,99.30875576036867,949.3711967334937,SC → MG
RJ,BA,135,133,4.18796992481203,11.278195488721805,15.0,11.11111111111111,15.0,135,14.0,16.937244084362142,30485.31,4144.85,26340.46,55,15.735678116479365,98.51851851851852,1185.848937673155,RJ → BA
SC,RS,297,295,4.288135593220339,11.525423728813559,34.0,4.713804713804714,14.0,297,24.0,12.858289453173713,52984.56,7314.43,45670.13,72,16.015785372189658,99.32659932659932,422.1806503667659,SC → RS
MG,RS,281,280,4.196428571428571,12.142857142857142,34.0,4.270462633451958,12.0,281,24.0,17.14177239851061,45384.96,10049.62,35335.34,84,28.4407055372893,99.644128113879,1249.82777398377,MG → RS
