category,orders,reviews,rating,low_rate,low_count,late_rate,late_count,deliveries,one_star,delivery_time,value,freight,merchandise,sellers,freight_burden,review_coverage,distance,priority
Health Beauty,8647,8601,4.229275665620277,11.452156725962096,985.0,7.5054932346478545,649.0,8647,776.0,12.075151891150432,1412089.53,178957.81,1233131.72,479,14.512465059288232,99.46802359199722,678.7233981463628,Protect
Watches Gifts,5495,5454,4.121195452878621,13.696369636963695,747.0,7.391225195703623,406.0,5493,566.0,12.805951739503476,1264333.12,98156.14,1166176.98,95,8.416916272862803,99.25386715195633,646.1054664408069,Fix
Bed Bath Table,9272,9177,3.998910319276452,16.029203443391086,1471.0,7.43097497842968,689.0,9272,1103.0,12.990189004929219,1225209.26,201774.5,1023434.76,189,19.71542377552234,98.97540983606558,513.2564148705105,Fix
Sports Leisure,7530,7486,4.227491317125301,11.381244990649211,852.0,6.574578297250631,495.0,7529,669.0,12.238978405412652,1118256.91,163404.36,954852.55,466,17.113046407008074,99.4156706507304,596.9663525319224,Protect
Computers Accessories,6530,6499,4.08108939836898,14.556085551623326,946.0,6.386889263286874,417.0,6529,734.0,13.172149732248714,1032723.77,143999.16,888724.61,279,16.202900018713333,99.52526799387442,676.9322456308487,Fix
Furniture Decor,6307,6260,4.057507987220447,15.351437699680512,961.0,7.1190740447122245,449.0,6307,725.0,13.0745186198169,880329.92,168402.23,711927.6900000001,352,23.654400912542116,99.2547962581259,565.5215638799725,Fix
Housewares,5743,5709,4.1930285514100545,11.823436678928008,675.0,5.363050670381334,308.0,5743,498.0,11.086187472188364,758392.25,142763.56,615628.69,452,23.189880900449914,99.40797492599687,494.9935884970145,Protect
Cool Stuff,3559,3531,4.21750212404418,11.271594449164542,398.0,5.9005338578252315,210.0,3559,293.0,12.378540336574984,691680.89,81476.79,610204.1,259,13.352383243573748,99.21326215228997,654.3441350648409,Protect
Auto,3810,3792,4.145305907172996,13.001054852320676,493.0,7.298503544237332,278.0,3809,375.0,12.33058433425221,669454.75,90488.1,578966.65,371,15.629242202465377,99.5275590551181,617.6750639836727,Fix
Garden Tools,3448,3428,4.180280046674445,12.252042007001167,420.0,6.525522041763342,225.0,3448,319.0,13.633507139135947,567145.68,96650.4,470495.27999999997,227,20.542267714141573,99.4199535962877,650.6485325937747,Protect
Toys,3804,3774,4.237678855325914,11.393746687864335,430.0,6.3896923481462,243.0,3803,338.0,11.731823587737752,547061.06,75774.58,471286.48,242,16.078241837109353,99.21135646687698,563.1745554707488,Protect
Baby,2809,2787,4.103336921420882,14.280588446358092,398.0,8.04556781772873,226.0,2809,305.0,12.67648087578946,466727.65,66305.81,400421.84,240,16.558989389789527,99.21680313278748,607.2483466556635,Fix
Perfumery,3086,3076,4.261378413524057,11.76853055916775,362.0,6.5456902138690864,202.0,3086,274.0,11.91473935455222,443171.63,53026.98,390144.65,173,13.591620441290173,99.67595593000648,578.5984287443315,Protect
Telephony,4093,4069,4.051855492750062,14.13123617596461,575.0,7.1096994869289025,291.0,4093,425.0,12.958875496556903,379202.62,69342.39,309860.23,142,22.378602765511406,99.41363303200586,696.9307902569699,Fix
Office Furniture,1254,1244,3.644694533762058,21.94533762057878,273.0,8.054226475279107,101.0,1254,214.0,20.63858021922441,335211.36,67057.05,268154.31,30,25.00688875744716,99.20255183413079,563.4947070393158,Fix
Stationery,2264,2251,4.295424255886273,10.039982230119946,226.0,6.5371024734982335,148.0,2264,163.0,12.77881321264396,269575.05,45786.36,223788.69,172,20.459639850432122,99.42579505300354,561.7128825522992,Protect
Pet Shop,1688,1680,4.273809523809524,10.654761904761905,179.0,5.0947867298578196,86.0,1688,134.0,11.374149572966035,250614.2,38918.56,211695.64,132,18.384204795148353,99.5260663507109,560.141708323278,Protect
Computers,177,174,4.224137931034483,11.494252873563218,20.0,5.649717514124294,10.0,177,18.0,13.910157198158611,228349.76,9665.62,218684.14,9,4.419899861050737,98.30508474576271,1128.5735837496527,Protect
Musical Instruments,611,605,4.234710743801653,11.735537190082644,71.0,7.528641571194762,46.0,611,51.0,13.074852700490998,202187.12,17871.38,184315.74,67,9.69606827935585,99.01800327332242,648.7068240485141,Protect
Electronics,2517,2498,4.124499599679744,13.210568454763811,330.0,7.628128724672228,192.0,2517,249.0,12.916718936233611,200723.09,45679.159999999996,155043.93,145,29.46207568396905,99.24513309495431,625.9944714795585,Fix
Small Appliances,609,604,4.254966887417218,11.589403973509933,70.0,4.761904761904762,29.0,609,53.0,10.97569254393967,198108.47,15354.35,182754.12,97,8.401643694817935,99.17898193760263,561.7477463740888,Protect
Unknown,1392,1382,4.010853835021708,17.43849493487699,241.0,7.255747126436781,101.0,1392,194.0,12.73014754450032,197695.69,26969.06,170726.63,247,15.7966334835989,99.2816091954023,554.5370017956081,Fix
Fashion Bags Accessories,1820,1811,4.2424075096631695,10.160132523467698,184.0,5.604395604395605,102.0,1820,140.0,11.228619053978429,179888.29,30558.9,149329.39,97,20.464089487005875,99.50549450549451,584.0561717139808,Protect
Luggage Accessories,1019,1015,4.370443349753694,8.177339901477833,83.0,4.317958783120707,44.0,1019,59.0,10.86679323183586,168778.12,30076.49,138701.63,73,21.684308973153378,99.60745829244357,558.7505188082881,Protect
Consoles Games,1018,1009,4.178394449950446,11.10009910802775,112.0,6.090373280943026,62.0,1018,84.0,13.76586140444226,167097.73,19094.36,148003.37,81,12.901300828487894,99.11591355599214,725.2533536783177,Protect
Construction Tools Construction,736,731,4.125854993160055,13.269493844049249,97.0,7.336956521739131,54.0,736,79.0,10.855906190242553,162382.01,20273.52,142108.49,123,14.266227162078776,99.32065217391305,509.2823067126023,Fix
Home Appliances 2,227,226,4.150442477876106,12.389380530973451,28.0,6.167400881057269,14.0,227,19.0,13.892547723935389,118208.52,10254.57,107953.95,45,9.499022499871474,99.55947136563877,580.3133293474701,Protect
Home Construction,483,481,3.9854469854469854,17.255717255717258,83.0,6.004140786749482,29.0,483,53.0,13.437094715704317,95022.37,13614.8,81407.57,67,16.72424321227129,99.58592132505176,596.1507536047332,Fix
Home Appliances,747,744,4.212365591397849,11.021505376344086,82.0,4.417670682730924,33.0,747,67.0,11.31172112834052,93301.78,14469.3,78832.48,48,18.354490433384818,99.59839357429719,549.3911247456019,Protect
Furniture Living Room,414,409,4.070904645476773,14.180929095354522,58.0,7.487922705314009,31.0,414,39.0,13.864802905260333,85045.07,17694.37,67350.7,55,26.271991233944114,98.79227053140097,576.1415119256752,Fix
Agro Industry And Commerce,177,177,4.107344632768362,12.429378531073446,22.0,3.954802259887006,7.0,177,16.0,11.432300428960033,76203.3,5637.2,70566.1,32,7.9885384058350954,100.0,581.0628490493847,Protect
Home Confort,392,390,3.8846153846153846,18.71794871794872,73.0,9.438775510204081,37.0,392,57.0,13.712452227418746,66438.22,8429.77,58008.450000000004,20,14.531969049336777,99.48979591836735,539.8886697108846,Fix
Air Conditioning,246,242,4.115702479338843,14.049586776859504,34.0,4.0650406504065035,10.0,246,27.0,11.88108904509184,59854.55,6530.99,53323.56,51,12.247850668635026,98.3739837398374,538.1839647359719,Investigate
Fixed Telephony,212,209,3.9665071770334928,16.74641148325359,35.0,4.716981132075472,10.0,212,29.0,12.533988032844164,59816.54,4501.33,55315.21,48,8.137599043734987,98.58490566037736,632.9807127326208,Investigate
Kitchen Dining Laundry Garden Furniture,241,239,4.125523012552302,11.297071129707113,27.0,4.564315352697095,11.0,241,23.0,11.832894094820961,57072.97,11540.99,45531.98,51,25.346997868311455,99.1701244813278,489.0879636369533,Explore growth
Audio,348,345,3.8405797101449277,21.73913043478261,75.0,11.781609195402298,41.0,348,56.0,13.470062493348234,56255.32,5684.72,50570.6,36,11.241155928543463,99.13793103448276,566.7828752899859,Investigate
Books General Interest,496,492,4.534552845528455,6.300813008130081,31.0,6.4646464646464645,32.0,495,26.0,11.530295314253648,54182.54,8880.39,45302.15,53,19.602579568519374,99.19354838709677,569.5275445041544,Explore growth
Small Appliances Home Oven And Coffee,72,72,4.430555555555555,6.944444444444445,5.0,5.555555555555555,4.0,72,4.0,9.927397762345679,49245.9,2656.34,46589.56,14,5.701577778369232,100.0,515.0595646247932,Explore growth
Construction Tools Lights,242,239,4.150627615062762,10.460251046025103,25.0,6.6115702479338845,16.0,242,17.0,9.829345203933272,47447.14,7490.14,39957.0,36,18.745501414020072,98.7603305785124,474.6434251043945,Explore growth
Industry Commerce And Business,232,230,4.221739130434782,10.434782608695652,24.0,6.926406926406926,16.0,231,19.0,10.894468594676928,46079.340000000004,7580.53,38498.81,29,19.690296920865865,99.13793103448276,524.6348418842381,Explore growth
Construction Tools Safety,159,158,3.9746835443037973,17.088607594936708,27.0,2.515723270440252,4.0,159,24.0,11.796912415560215,42504.02,3730.8,38773.22,33,9.622105154021256,99.37106918238993,733.0899956175864,Investigate
Food,441,437,4.327231121281464,10.068649885583524,44.0,7.029478458049887,31.0,441,34.0,9.79227256025867,35794.68,7063.53,28731.15,56,24.584919155689903,99.09297052154194,472.0715526010969,Explore growth
Market Place,274,272,4.088235294117647,12.132352941176471,33.0,4.014598540145985,11.0,274,26.0,12.242130601175994,33114.38,5318.61,27795.77,55,19.13460213550479,99.27007299270073,622.9403549006546,Explore growth
Costruction Tools Garden,190,190,4.247368421052632,12.105263157894736,23.0,5.263157894736842,10.0,190,18.0,11.870309880604289,30283.94,5187.66,25096.28,32,20.67103172262981,100.0,728.4219755017547,Explore growth
Fashion Shoes,235,231,4.264069264069264,11.255411255411255,26.0,4.680851063829787,11.0,235,17.0,15.728032505910164,27814.829999999998,4813.37,23001.46,12,20.926367282772485,98.29787234042553,729.1793922845823,Explore growth
Signaling And Security,138,137,4.116788321167883,11.678832116788321,16.0,4.3478260869565215,6.0,138,14.0,10.871064395464305,27792.59,6477.54,21315.05,45,30.389513512752725,99.27536231884058,503.531326062782,Explore growth
Art,195,193,4.098445595854923,13.989637305699482,27.0,6.153846153846154,12.0,195,20.0,11.25849554843305,27485.53,3828.23,23657.3,33,16.182024153221207,98.97435897435898,502.28876744371905,Investigate
Drinks,287,287,4.2369337979094075,10.104529616724738,29.0,5.2264808362369335,15.0,287,26.0,10.379628863401729,26971.11,5441.27,21529.84,36,25.273155768923505,100.0,379.7057393801381,Explore growth
