category,HHI,top_seller_share,orders,value,dependent,Exposure
Computers,5764.735743938715,74.59151259891843,177,228349.76,True,170329.54
Tablets Printing Image,4727.298252166415,65.99562973107882,79,8754.61,True,5777.66
Office Furniture,4464.856791341031,64.9936744387183,1254,335211.36,True,217866.17999999996
Small Appliances Home Oven And Coffee,3857.8855567337605,52.70850974395839,72,49245.9,True,25956.780000000006
Home Confort,3755.837395405696,43.39437450310981,392,66438.22,True,28830.45
Fashion Shoes,3142.2536498810987,39.59420208572189,235,27814.829999999998,True,11013.059999999998
Furniture Mattress And Upholstery,3103.3621299055076,47.22875650958973,37,5904.75,True,2788.7399999999993
Books Imported,2980.127190020015,44.255223318462264,50,5150.94,True,2279.56
Fashion Underwear Beach,2951.6829485228795,41.89132277540722,117,11160.02,True,4675.080000000001
Art,2759.1141944156193,45.90422669673824,195,27485.53,True,12617.019999999997
Party Supplies,2670.5170056727684,46.56107980883116,38,5285.38,True,2460.9300000000003
Home Appliances,2434.8698644402884,46.135797194865944,747,93301.78,False,43045.51999999999
Construction Tools Lights,2353.09715745219,41.970622465337215,242,47447.14,False,19913.86
Agro Industry And Commerce,2249.1117125182927,43.142974123167896,177,76203.3,False,32876.37
Dvds Blu Ray,2135.859068555343,34.566816410853676,56,5769.84,False,1994.4499999999998
Fashion Male Clothing,2047.5327416966672,34.43889108626083,106,12514.95,False,4310.01
Fixed Telephony,1923.3566502501162,40.619534329468074,212,59816.54,False,24297.200000000004
Audio,1771.165816803682,34.64182587531277,348,56255.32,False,19487.87
Construction Tools Safety,1750.4566464663383,32.997067100947156,159,42504.02,False,14025.079999999998
Drinks,1746.3785852415167,37.20803481947906,287,26971.11,False,10035.419999999998
Books General Interest,1738.5110348127482,35.9825877487471,496,54182.54,False,19496.28
Christmas Supplies,1731.4194524136349,28.801592790527085,125,11928.75,False,3435.6699999999996
Fashio Female Clothing,1603.3098227294747,22.06472701060141,36,3218.44,False,710.14
Cine Photo,1489.1807206229196,23.79482623782298,63,7902.18,False,1880.31
Costruction Tools Tools,1474.6787489478368,23.405710997498076,97,17934.170000000002,False,4197.620000000001
Home Appliances 2,1421.5837559310057,33.94341626136593,227,118208.52,False,40124.01
Stationery,1390.6473409531775,35.63181384924161,2264,269575.05,False,96054.47999999998
Music,1355.391862783808,20.72831255966667,38,6724.860000000001,False,1393.95
Books Technical,1341.1902288879207,28.770620761388006,256,22901.07,False,6588.78
Costruction Tools Garden,1339.8763185254304,26.507680308440705,190,30283.94,False,8027.569999999998
Furniture Bedroom,1310.5494644351186,26.119990316186765,90,23379.22,False,6106.65
Food Drink,1287.8963280801445,27.98750838385191,221,19337.77,False,5412.16
Industry Commerce And Business,1253.7728708879408,28.774435571342817,232,46079.340000000004,False,13259.07
Furniture Living Room,1147.2911443858418,25.513025034843288,414,85045.07,False,21697.57
Luggage Accessories,984.472918224557,23.30146822348774,1019,168778.12,False,39327.78
Watches Gifts,930.6062154768449,17.095542826561406,5495,1264333.12,False,216144.61000000004
Food,921.4836374154182,17.755292127209966,441,35794.68,False,6355.45
Musical Instruments,912.5161030599178,20.34269047405196,611,202187.12,False,41130.3
Garden Tools,854.329508697608,24.05234048507607,3448,567145.68,False,136411.80999999997
Consoles Games,847.6772796618335,23.111528804131567,1018,167097.73,False,38618.84
Perfumery,789.3787073797787,17.428823230403985,3086,443171.63,False,77239.6
Unknown,779.681313140102,25.280197054371794,1392,197695.69,False,49977.85999999999
Home Construction,713.2477323854653,17.520253388754668,483,95022.37,False,16648.159999999996
Signaling And Security,698.9611419634284,16.40559588005292,138,27792.59,False,4559.54
Cool Stuff,665.5238400077819,22.01614099819933,3559,691680.89,False,152281.44
Small Appliances,663.7910315563544,19.008662274762912,609,198108.47,False,37657.77
Market Place,646.1102338211003,11.648021192001783,274,33114.38,False,3857.17
Air Conditioning,624.9641619281698,15.273959957931352,246,59854.55,False,9142.16
Kitchen Dining Laundry Garden Furniture,591.3260380456918,15.096813780674106,241,57072.97,False,8616.199999999999
Telephony,587.9189658977936,15.9459552257313,4093,379202.62,False,60467.48
Construction Tools Construction,572.4561212992506,16.250112928150106,736,162382.01,False,26387.26
Bed Bath Table,570.5488473544412,15.492355158987289,9272,1225209.26,False,189813.77
Fashion Bags Accessories,497.18007162331975,12.40694433195179,1820,179888.29,False,22318.64
Baby,460.3683486816467,16.72649349143982,2809,466727.65,False,78067.17000000001
Electronics,426.37383729772534,13.12283006404495,2517,200723.09,False,26340.55
Furniture Decor,412.56167070666515,15.806353599795859,6307,880329.92,False,139148.06000000003
Toys,376.2098723539137,15.767733495781988,3804,547061.06,False,86259.13
Pet Shop,318.4569678925975,8.133142495517014,1688,250614.2,False,20382.81
Auto,280.19927045688826,10.975197352771042,3810,669454.75,False,73473.98
Computers Accessories,230.68077635712982,5.915720328583122,6530,1032723.77,False,61093.05000000001
Health Beauty,227.61936676774545,5.8800195197254945,8647,1412089.53,False,83031.13999999998
Sports Leisure,147.08431544610866,5.351399974805433,7530,1118256.91,False,59842.40000000001
Housewares,124.91819783338575,4.650464189210794,5743,758392.25,False,35268.76
