origin,leads,wins,matched,conversion,ci_low,ci_high
Direct Traffic,499,56,31,11.22244488977956,8.74393767314229,14.293456209941368
Display,118,6,2,5.084745762711864,2.3509310875761367,10.650867969560341
Email,493,15,6,3.0425963488843815,1.8523557692256678,4.9589901406176295
Organic Search,2296,271,113,11.803135888501743,10.546737721120095,13.187140299000944
Other,150,4,2,2.6666666666666665,1.0417772291104757,6.655490610017561
Other Publicities,65,3,0,4.615384615384615,1.5819553585903263,12.714051706904952
Paid Search,1586,195,101,12.295081967213115,10.769422727942947,14.002957111658684
Referral,284,24,9,8.450704225352112,5.744419371681523,12.266041937594135
Social,1350,75,31,5.555555555555555,4.454988543518833,6.908349678618824
Unknown,1159,193,85,16.652286453839515,14.618312703719697,18.90659730981955
